wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
8,1,0,6,14,26,2,0,7,1.0,39,1.0,2,0.0,0.39285714299999996,0,0,3.5,1,0.75,0
2,4,0,4,5,1,1,0,2,2.0,36,0.0,0,0.975609756,0.666666667,1,1,17.0,1,0.5,0
56,1,0,49,89,1310,40,0,56,0.9564738290000001,583,1.0,24,0.0,0.1375,0,0,8.821428571,5,1.1964,0
4,5,1,0,8,6,0,0,4,2.0,20,0.0,0,1.0,0.666666667,0,0,4.0,0,0.0,0
3,2,0,3,8,3,3,0,3,1.5,73,0.0,0,0.9375,0.833333333,0,0,22.0,3,1.0,0
16,1,2,38,91,58,23,0,13,0.7777777779999999,717,0.8888888890000001,7,0.0,0.28,0,0,43.25,15,1.9375,1
3,1,0,0,3,3,0,0,3,2.0,3,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
10,3,0,3,24,3,1,0,10,0.481481481,114,1.0,0,0.428571429,0.21111111100000002,1,1,10.1,3,1.0,0
3,2,0,2,7,3,2,0,3,1.5,30,0.0,0,0.9375,0.833333333,0,0,8.666666667000001,3,1.0,0
3,2,0,5,8,3,0,0,2,1.0,27,1.0,0,0.976190476,1.0,0,0,7.666666667,1,0.3333,0
11,2,0,1,25,35,0,0,11,0.65,283,1.0,0,0.41176470600000004,0.318181818,0,0,24.36363636,2,1.1818,0
4,2,0,12,22,2,1,0,4,0.583333333,1700,1.0,3,0.5,0.5,1,1,423.0,1,0.5,2
6,5,0,1,7,15,1,0,6,2.0,14,0.0,0,0.864864865,0.45833333299999995,1,1,1.333333333,1,0.8333,0
0,1,0,0,0,0,0,0,0,2.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0
6,3,0,8,33,3,1,0,1,0.4,177,1.0,0,0.8275862070000001,0.4,1,6,28.33333333,1,0.8333,0
3,2,0,6,9,1,2,0,3,0.0,35,1.0,0,0.666666667,0.5555555560000001,1,1,10.33333333,1,0.3333,0
14,1,0,3,15,91,3,0,14,2.0,17,0.0,0,0.0,0.28571428600000004,0,0,0.214285714,1,0.9286,0
2,1,1,0,3,1,0,0,2,2.0,5,0.0,0,0.0,1.0,0,0,1.5,1,0.5,0
22,2,0,20,145,127,0,0,15,0.867346939,1226,0.857142857,1,0.545454545,0.30612244899999996,2,2,54.09090909,10,2.3182,0
51,1,0,40,207,999,4,0,38,0.907222222,2594,1.0,9,0.0,0.092,0,0,49.15686275,41,4.1373,4
1,1,0,0,2,0,0,0,1,2.0,10,0.0,0,0.0,1.0,0,0,3.0,0,0.0,0
2,4,0,4,6,1,1,0,2,2.0,33,0.0,0,0.975609756,0.666666667,1,1,15.5,1,0.5,0
33,2,0,9,93,378,0,0,26,0.9008620690000001,995,1.0,2,0.39215686299999997,0.1875,0,0,28.27272727,6,1.4848,0
6,1,0,4,12,3,3,0,6,0.2,40,1.0,0,0.0,0.583333333,0,0,5.5,1,0.8333,0
8,1,0,2,31,12,1,0,8,0.457142857,259,1.0,0,0.0,0.325,0,0,30.75,5,1.5,0
37,3,0,8,97,508,2,0,21,0.8954248370000001,981,1.0,3,0.619565217,0.242063492,2,3,25.05405405,11,2.7568,0
8,1,1,11,21,10,5,0,4,0.734693878,108,0.7142857140000001,2,0.0,0.428571429,0,0,11.625,2,0.75,1
4,1,0,0,5,0,0,0,4,0.666666667,28,1.0,1,0.0,0.5,0,0,5.25,1,0.75,0
2,2,0,5,8,0,1,0,2,0.0,32,0.0,0,0.916666667,0.625,0,0,14.5,1,0.5,0
2,1,1,0,3,1,0,0,2,2.0,5,0.0,0,0.0,1.0,0,0,1.5,1,0.5,0
0,1,0,3,0,0,3,0,0,2.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0
9,1,0,19,46,8,3,0,5,0.4375,350,1.0,3,0.0,0.3125,0,0,37.44444444,1,0.7778,0
2,5,0,2,5,1,0,0,2,2.0,11,0.0,0,0.985507246,1.0,1,1,4.5,1,0.5,0
1,1,0,0,2,0,0,0,1,2.0,9,0.0,0,0.0,1.0,0,0,3.0,0,0.0,1
7,1,0,9,36,0,1,0,5,0.41666666700000005,181,0.5,0,0.0,0.444444444,0,0,24.57142857,1,0.7143,0
6,1,0,2,7,7,2,0,6,0.7,29,0.0,0,0.0,0.75,0,0,3.5,1,0.8333,0
11,1,0,2,23,15,1,0,11,0.7,167,0.0,1,0.0,0.318181818,0,0,13.72727273,2,1.0,0
10,1,0,4,11,45,3,0,10,1.111111111,24,0.0,0,0.0,0.34,0,0,0.3,1,0.9,0
42,2,0,26,98,683,10,0,41,0.948350072,962,1.0,0,0.633027523,0.25203252,2,7,21.5,10,1.5476,0
3,2,0,2,4,0,2,0,3,0.0,31,1.0,0,0.894736842,0.444444444,0,0,9.0,2,1.0,0
10,1,0,79,37,39,76,0,7,0.592592593,296,1.0,0,0.0,0.611111111,0,0,28.3,5,1.5,0
7,3,0,35,12,11,35,0,7,0.166666667,77,1.0,0,0.85,0.523809524,1,2,9.714285713999999,4,0.8571,0
4,1,0,2,9,0,1,0,2,0.25,91,0.0,1,0.0,0.625,0,0,20.75,5,2.0,0
4,3,0,2,6,6,1,0,4,1.0,21,1.0,1,0.833333333,0.4,1,2,4.0,1,0.75,0
5,1,1,0,6,10,0,0,5,2.0,8,0.0,0,0.0,0.533333333,0,0,0.6,1,0.8,0
30,1,0,14,71,135,2,0,22,0.780788177,836,1.0,6,0.0,0.162068966,0,0,26.4,6,1.6333,0
3,2,0,3,9,1,1,0,2,0.5,59,1.0,1,0.75,0.5555555560000001,0,0,18.33333333,2,1.0,0
5,1,0,18,5,10,18,0,5,2.0,5,0.0,0,0.0,0.7,0,0,0.0,1,1.0,0
7,2,0,4,25,9,1,0,7,0.5,331,1.0,0,0.7857142859999999,0.342857143,2,2,46.0,5,1.0,0
4,5,0,2,11,0,0,0,4,0.0,56,1.0,0,0.9577464790000001,0.625,2,2,12.75,1,0.75,0
10,4,0,2,20,0,1,0,9,0.38888888899999996,92,1.0,1,0.848484848,0.296296296,2,2,8.0,2,0.8,0
2,2,0,7,8,0,3,0,2,0.0,44,1.0,0,0.916666667,0.833333333,0,0,20.0,1,0.5,0
17,1,0,6,32,72,3,0,16,0.7125,378,1.0,0,0.0,0.8125,0,0,20.94117647,7,2.2353,0
3,2,0,2,11,0,1,0,3,0.0,52,1.0,0,0.846153846,0.5,0,0,16.0,1,0.6667,0
2,1,0,5,4,1,4,0,1,1.76744186,79,0.0,0,0.0,1.0,0,0,17.0,0,0.0,1
2,3,5,7,3,1,5,0,2,2.0,8,0.0,0,0.975,0.666666667,0,0,3.0,1,0.5,0
118,1,0,10,210,3267,1,0,104,0.9285470090000001,1160,0.92,4,0.0,0.130536131,0,0,8.618644068,3,1.0424,1
1,1,0,0,2,0,0,0,1,2.0,23,0.0,0,0.0,1.0,0,0,3.0,0,0.0,1
2,2,0,2,4,1,0,0,1,1.0,9,1.0,0,1.0,1.0,0,0,3.0,0,0.0,0
8,2,0,0,35,28,0,0,7,2.0,343,0.0,0,0.5,0.525,0,0,41.875,6,1.75,0
16,2,1,6,42,34,5,0,13,0.644444444,287,1.0,0,0.48,0.18666666699999998,0,0,16.75,7,1.8125,0
8,1,0,4,35,12,2,0,6,0.666666667,204,1.0,2,0.0,0.28571428600000004,0,0,23.75,3,1.625,0
34,1,0,19,34,561,19,0,34,2.0,34,0.0,0,0.0,0.21008403399999998,0,0,0.0,1,1.0,0
4,1,0,4,4,6,2,0,4,2.0,4,0.0,0,0.0,0.6,0,0,0.0,1,1.0,0
5,3,0,2,11,8,1,0,5,0.75,37,1.0,1,0.833333333,0.36,1,1,6.2,1,0.8,0
2,1,0,0,2,1,0,0,2,2.0,2,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
41,1,0,17,92,658,6,0,20,0.84375,2453,1.0,2,0.0,0.194642857,0,0,58.73170732,10,3.7073,0
4,5,1,0,8,6,0,0,4,2.0,20,0.0,0,1.0,0.666666667,0,0,4.0,0,0.0,0
4,2,0,8,13,4,1,0,2,1.0,36,1.0,1,0.9090909090000001,0.5555555560000001,0,0,7.5,1,0.5,0
9,1,0,1,10,36,0,0,9,2.0,12,0.0,0,0.0,0.444444444,0,0,0.333333333,1,0.8889,0
5,1,0,0,6,4,0,0,5,0.5,22,1.0,0,0.0,0.4,0,0,3.2,1,0.8,0
17,2,0,14,69,78,0,0,16,0.791666667,348,0.5,2,0.615384615,0.203125,1,3,19.11764706,3,1.4118,0
4,5,0,2,13,0,0,0,4,0.0,58,1.0,0,0.9577464790000001,0.625,1,1,13.25,1,0.75,0
60,1,0,19,143,1080,8,0,52,0.8250847459999999,1833,1.0,4,0.0,0.13700565,0,0,29.13333333,19,2.1833,1
13,1,0,12,25,40,12,0,13,0.9236111109999999,265,0.083333333,1,0.0,0.36923076899999996,0,0,18.46153846,5,1.4615,0
42,1,0,19,96,569,14,0,31,0.889135255,897,0.772727273,3,0.0,0.134146341,0,0,19.83333333,9,1.9286,0
1,3,0,4,2,0,4,0,1,2.0,4,0.0,0,1.0,1.0,0,0,3.0,0,0.0,0
2,4,0,3,3,1,1,0,2,2.0,8,0.0,0,0.975609756,0.666666667,0,0,3.0,1,0.5,0
7,1,0,1,13,0,1,0,5,0.5,221,1.0,2,0.0,0.428571429,0,0,29.85714286,7,3.2857,0
4,4,0,0,8,6,0,0,4,2.0,20,0.0,0,1.0,0.666666667,0,0,4.0,0,0.0,0
44,1,0,26,166,428,9,0,2,0.880620155,2361,1.0,7,0.0,0.141649049,0,0,52.31818182,11,2.0909,6
6,1,0,2,22,0,0,0,5,0.666666667,161,1.0,1,0.0,0.444444444,0,0,25.33333333,8,2.0,0
5,4,0,4,37,6,1,0,1,0.5,203,1.0,0,0.9117647059999999,0.666666667,2,2,39.4,1,0.6,0
24,1,0,0,24,276,0,0,24,2.0,24,0.0,0,0.0,0.358333333,0,0,0.0,1,1.0,0
2,2,0,4,10,1,1,0,2,2.0,45,0.0,0,0.916666667,0.666666667,1,1,21.5,1,0.5,0
6,3,0,4,45,0,0,0,4,0.2,379,1.0,0,0.8275862070000001,0.625,2,5,61.16666667,1,0.8333,0
5,3,2,0,8,4,0,0,5,0.5,31,1.0,0,0.944444444,0.6,0,0,5.0,1,0.2,0
9,1,0,0,17,30,0,0,7,0.875,98,1.0,3,0.0,0.288888889,0,0,9.555555556,12,2.1111,0
3,2,0,5,12,1,1,0,3,0.0,259,1.0,0,0.666666667,0.5555555560000001,1,1,85.0,1,0.3333,0
2,3,0,4,4,1,1,0,2,2.0,13,0.0,0,0.975,0.666666667,0,0,5.5,1,0.5,0
8,2,0,4,23,16,1,0,8,0.428571429,166,1.0,0,0.7333333329999999,0.46875,1,1,19.375,1,0.5,0
38,2,0,14,144,521,0,0,26,0.895135135,2014,1.0,3,0.35714285700000004,0.155405405,0,0,51.34210526,31,3.5526,0
14,5,0,2,34,29,0,0,14,0.7692307690000001,263,1.0,0,0.839506173,0.47619047600000003,1,1,17.35714286,1,0.9286,0
42,3,0,4,67,697,2,0,33,0.282229965,655,0.857142857,1,0.512820513,0.166297118,2,4,14.42857143,4,1.0238,0
4,2,0,19,76,0,1,0,1,0.5,640,1.0,1,0.875,0.666666667,1,1,158.5,5,1.5,1
5,1,0,23,9,0,19,0,5,0.375,183,1.0,2,0.0,0.4,0,0,35.2,6,2.2,0
8,1,0,3,15,4,3,0,7,0.5,84,1.0,0,0.0,0.5,0,0,9.25,4,1.75,0
8,2,0,16,65,16,1,0,2,0.857142857,408,1.0,1,0.7692307690000001,0.428571429,0,0,49.625,10,3.25,0
5,3,0,12,26,10,0,0,5,1.25,142,1.0,0,0.923076923,0.4,1,3,27.2,1,0.8,1
20,1,0,15,89,60,6,0,17,0.796052632,826,1.0,5,0.0,0.133333333,0,0,39.5,10,1.6,1
1,1,0,20,1,0,19,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
5,2,0,14,45,8,0,0,3,1.0,263,1.0,1,0.869565217,0.4,0,0,51.2,3,1.0,1
71,1,4,34,174,1809,14,0,62,0.917857143,1902,1.0,8,0.0,0.069387755,0,0,25.394366199999997,9,2.2254,0
6,1,0,2,18,9,1,0,4,0.7,1355,0.5,1,0.0,0.25,0,0,224.5,15,4.1667,0
4,3,0,16,46,4,0,0,3,0.8888888890000001,283,0.666666667,0,0.96,0.5,1,3,69.0,1,0.5,0
5,1,0,0,7,8,0,0,4,0.75,23,0.0,1,0.0,0.75,0,0,3.4,1,0.6,0
9,1,0,9,20,12,5,0,4,0.6964285709999999,169,1.0,1,0.0,0.444444444,0,0,17.0,5,1.3333,0
11,5,0,3,32,17,0,0,10,0.75,249,1.0,0,0.9082568809999999,0.327272727,1,1,21.27272727,1,0.9091,0
6,2,0,9,13,0,8,0,6,0.4,100,1.0,0,0.705882353,0.666666667,0,0,15.33333333,5,1.5,0
4,1,0,8,6,0,7,0,3,0.333333333,24,1.0,1,0.0,0.333333333,0,0,4.75,2,1.0,0
34,1,0,66,34,561,62,0,34,1.03030303,40,0.0,0,0.0,0.10924369699999999,0,0,0.0,1,1.0,0
5,3,0,5,10,0,2,0,5,2.0,38,0.0,0,0.9069767440000001,0.55,0,0,6.6,1,0.8,0
2,4,0,5,5,1,1,0,2,2.0,24,0.0,0,0.975609756,0.666666667,0,0,11.0,1,0.5,0
2,1,4,8,3,1,6,0,1,2.0,5,0.0,0,0.0,0.75,0,0,1.5,1,0.5,0
7,1,2,12,9,0,12,0,7,0.25,65,1.0,0,0.0,0.523809524,0,0,8.0,1,0.5714,0
9,1,0,6,23,10,2,0,8,0.791666667,132,1.0,4,0.0,0.325,0,0,13.0,2,1.0,0
6,2,0,3,27,13,1,0,6,0.4,139,1.0,0,0.846153846,0.4,1,1,21.83333333,1,0.3333,0
2,5,0,2,5,1,0,0,2,2.0,11,0.0,0,0.985507246,1.0,1,1,4.5,1,0.5,0
15,2,0,10,61,63,0,0,13,0.7857142859999999,488,1.0,1,0.759259259,0.7142857140000001,0,0,31.33333333,3,1.4667,0
1,1,0,3,1,0,3,0,0,2.0,171,0.0,0,0.0,0.0,0,0,136.0,0,0.0,0
10,1,0,5,15,27,5,0,9,0.7777777779999999,101,0.0,1,0.0,0.240740741,0,0,8.8,1,0.8,0
1,3,0,1,2,0,0,0,1,2.0,4,0.0,0,1.0,1.0,0,0,3.0,0,0.0,0
11,3,0,4,27,11,1,0,10,0.583333333,169,1.0,3,0.4,0.17424242399999998,1,1,13.81818182,3,1.0,0
2,2,0,3,4,1,0,0,1,2.0,9,0.0,0,0.666666667,1.0,0,0,3.5,1,0.5,0
2,1,0,5,16,0,1,0,1,0.0,78,1.0,0,0.0,0.75,0,0,37.5,1,0.5,0
5,1,0,3,27,10,1,0,4,1.25,237,1.0,0,0.0,0.375,0,0,46.0,6,3.0,0
28,2,2,0,29,374,0,0,27,1.007407407,48,0.4,0,0.325,0.171428571,0,0,0.535714286,1,0.9643,0
3,2,0,2,6,3,2,0,3,1.5,31,0.0,0,0.9375,0.666666667,0,0,9.0,3,1.0,0
60,2,0,16,163,1204,2,0,55,0.90440678,1551,0.52,2,0.292682927,0.111864407,1,1,24.43333333,13,1.4667,0
3,3,0,0,4,0,0,0,3,0.5,22,1.0,0,0.666666667,0.46666666700000003,0,0,5.666666667,1,0.6667,0
69,1,0,12,158,0,5,0,62,0.893137255,1383,0.8666666670000001,3,0.0,0.18729097,0,0,18.82608696,18,1.5942,0
10,1,0,26,128,23,1,0,3,0.8888888890000001,1066,0.833333333,2,0.0,0.296296296,0,0,105.0,22,4.1,3
10,2,0,4,27,3,1,0,10,0.4,245,1.0,1,0.7333333329999999,0.4,1,2,23.0,3,0.6,0
4,1,0,6,4,6,5,0,4,2.0,4,0.0,0,0.0,0.45,0,0,0.0,1,1.0,0
16,1,0,5,36,62,5,0,15,0.693333333,349,1.0,1,0.0,0.375,0,0,20.5,8,2.0,0
20,1,0,17,59,22,2,0,17,0.664473684,585,1.0,5,0.0,0.36842105299999994,0,0,27.85,11,2.5,1
8,2,0,0,20,0,0,0,8,0.0,223,1.0,1,0.5,0.65625,0,0,26.625,5,1.625,0
2,4,0,5,5,1,1,0,2,2.0,24,0.0,0,0.975609756,0.666666667,0,0,11.0,1,0.5,0
2,1,0,2,4,1,2,0,1,1.875,20,0.0,0,0.0,1.0,0,0,5.0,0,0.0,0
1,5,0,2,7,0,2,0,1,2.0,17,0.0,0,1.0,1.0,0,0,16.0,0,0.0,0
2,1,0,0,2,1,0,0,2,2.0,2,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
3,3,0,4,9,3,1,0,3,2.0,63,0.0,0,0.951219512,0.666666667,0,0,20.0,1,0.6667,0
23,2,0,18,83,137,3,0,14,0.835227273,845,1.0,2,0.487804878,0.2,1,1,35.39130435,8,2.3043,1
3,1,0,3,13,3,1,0,2,1.5,106,1.0,0,0.0,0.533333333,0,0,33.66666667,6,3.3333,1
5,1,0,7,17,0,0,0,2,0.41666666700000005,79,1.0,2,0.0,0.625,0,0,14.2,3,1.4,0
4,1,0,5,52,0,0,0,4,0.333333333,307,1.0,1,0.0,0.4,0,0,74.25,1,0.75,0
12,1,1,5,19,0,4,0,12,0.636363636,268,0.5,1,0.0,0.638888889,0,0,21.0,4,2.0833,0
18,1,0,3,21,73,2,0,18,0.836601307,152,0.666666667,1,0.0,0.27777777800000003,0,0,6.944444444,2,1.0556,0
4,1,0,1,4,6,1,0,4,2.0,4,0.0,0,0.0,0.5,0,0,0.0,1,1.0,0
18,1,2,0,35,0,0,0,18,0.0,111,1.0,1,0.0,0.27777777800000003,0,0,5.1111111110000005,2,1.0,0
8,1,0,12,8,28,10,0,8,2.0,8,0.0,0,0.0,0.5,0,0,0.0,1,1.0,0
62,1,0,40,133,329,14,0,6,0.613114754,3133,0.8,0,0.0,0.05702067,0,0,49.45161289999999,4,1.0645,0
12,1,0,2,21,0,2,0,12,0.836363636,304,0.4,0,0.0,0.45833333299999995,0,0,23.91666667,7,1.3333,0
4,1,0,6,11,6,1,0,2,2.0,166,0.0,0,0.0,0.55,0,0,40.5,2,1.0,0
2,1,0,0,2,1,0,0,2,2.0,2,0.0,0,0.0,0.75,0,0,0.0,1,1.0,0
39,3,0,1,78,0,0,0,35,0.763157895,560,1.0,1,0.449275362,0.131868132,1,1,13.17948718,8,1.8462,1
14,3,0,4,29,11,1,0,14,0.692307692,149,1.0,0,0.428571429,0.255102041,1,1,9.428571429,6,1.6429,0
8,2,0,4,23,16,1,0,8,0.428571429,165,1.0,0,0.7333333329999999,0.46875,1,1,19.25,1,0.5,0
22,1,15,33,50,189,19,0,21,0.933333333,376,1.0,3,0.0,0.174603175,0,0,15.63636364,2,1.0,0
4,1,0,3,30,0,0,0,2,0.611111111,368,1.0,0,0.0,0.333333333,0,0,89.5,15,4.0,0
10,1,3,0,15,35,0,0,10,0.851851852,66,1.0,0,0.0,0.3,0,0,5.3,2,1.0,0
46,1,0,41,210,777,1,0,33,0.9123456790000001,2793,1.0,8,0.0,0.11527777800000001,0,0,58.93478261,44,4.6304,1
13,1,28,40,14,56,40,0,13,0.75,65,1.0,1,0.0,0.423076923,0,0,3.8461538460000004,1,0.8462,0
252,2,0,63,511,29258,17,0,231,0.9808677379999999,7956,1.0,12,0.21630094,0.054354013,2,19,30.21031746,17,2.0238,2
2,2,0,2,4,0,1,0,2,0.0,21,1.0,0,0.916666667,0.666666667,0,0,9.0,1,0.5,0
13,1,1,0,23,72,0,0,13,0.41666666700000005,78,1.0,1,0.0,0.256410256,0,0,4.923076923,1,0.9231,0
19,1,0,2,28,111,1,0,19,0.875,173,1.0,1,0.0,0.263157895,0,0,7.684210526,2,1.0526,1
1,1,0,0,1,0,0,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
9,1,0,3,21,22,2,0,7,0.913461538,205,0.692307692,1,0.0,0.1875,0,0,20.33333333,3,1.1111,0
6,5,0,2,14,0,0,0,6,0.4,77,1.0,0,0.931506849,0.666666667,2,2,11.5,1,0.8333,0
31,1,0,3,59,283,0,0,31,0.904545455,518,0.045454545,14,0.0,0.264516129,0,0,15.0,3,1.0645,0
3,1,0,5,18,3,1,0,2,2.0,104,0.0,0,0.0,0.5,0,0,33.66666667,4,1.6667,0
12,3,0,19,114,42,0,0,5,0.848484848,811,1.0,0,0.8275862070000001,0.409090909,1,3,66.33333333,5,1.3333,1
30,2,0,48,180,263,1,0,17,0.8456486040000001,2215,1.0,8,0.37777777799999995,0.15086206900000002,1,2,72.13333333,4,1.1667,0
9,1,0,8,37,34,6,0,5,0.75,336,1.0,0,0.0,0.225,0,0,36.0,4,1.5556,0
30,5,0,2,46,283,0,0,28,0.857142857,490,1.0,0,0.701030928,0.286666667,1,1,14.86666667,20,1.9,0
74,1,0,31,142,2349,16,0,71,0.923679061,1303,0.9714285709999999,8,0.0,0.13325031099999998,0,0,16.13513514,8,1.2297,0
10,2,0,3,25,0,1,0,10,0.864197531,466,0.444444444,0,0.5555555560000001,0.316666667,1,2,44.7,1,0.8,0
14,1,0,18,14,91,18,0,14,2.0,14,0.0,0,0.0,0.571428571,0,0,0.0,1,1.0,0
7,5,0,2,37,15,0,0,5,0.833333333,259,1.0,0,0.942857143,0.4,1,1,35.71428571,12,2.8571,0
11,1,0,2,74,27,0,0,7,0.7,772,1.0,1,0.0,0.257142857,0,0,68.27272727,6,1.5455,0
8,1,0,6,13,26,2,0,7,1.0,34,1.0,1,0.0,0.39285714299999996,0,0,3.0,1,0.75,0
8,1,0,7,60,12,1,0,3,0.571428571,522,1.0,1,0.0,0.18367346899999998,0,0,63.75,11,2.875,0
35,1,0,30,118,0,0,0,6,0.544117647,1756,1.0,0,0.0,0.120915033,0,0,49.11428571,11,1.6571,0
1,1,0,1,1,0,1,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
32,4,0,1,63,478,1,0,29,0.387096774,223,1.0,0,0.62962963,0.139784946,2,9,5.875,2,1.0,0
31,2,0,3,63,313,0,0,27,0.8714285709999999,912,0.7857142859999999,0,0.452830189,0.286666667,0,0,27.96774194,3,1.129,0
17,2,2,0,21,136,0,0,17,1.0625,60,0.0,0,0.48387096799999996,0.18954248399999998,0,0,1.764705882,1,0.9412,0
5,1,0,30,5,10,28,0,5,2.0,5,0.0,0,0.0,0.4,0,0,0.0,1,1.0,0
2,1,0,0,2,1,0,0,2,2.0,4,0.0,0,0.0,0.75,0,0,0.0,1,1.0,0
8,2,0,12,35,20,1,0,3,0.9285714290000001,245,1.0,2,0.7692307690000001,0.380952381,0,0,29.125,1,0.75,2
4,5,0,2,10,0,0,0,4,0.0,39,1.0,0,0.9577464790000001,0.625,1,1,8.5,1,0.75,0
1,6,0,2,7,0,2,0,1,2.0,17,0.0,0,1.0,1.0,0,0,16.0,0,0.0,0
7,1,0,13,55,3,5,0,3,0.537037037,724,1.0,2,0.0,0.37142857100000004,0,0,101.1428571,11,2.5714,0
10,1,0,3,15,3,3,0,10,0.666666667,108,1.0,0,0.0,0.46666666700000003,0,0,9.4,2,1.0,0
4,1,0,2,9,0,0,0,2,0.25,91,0.0,1,0.0,0.5,0,0,20.75,5,2.0,0
4,2,0,3,20,6,3,0,4,1.333333333,146,0.0,0,0.882352941,0.75,0,0,34.5,3,1.25,0
2,1,0,3,2,1,2,0,2,2.0,2,0.0,0,0.0,0.75,0,0,0.0,1,1.0,0
14,1,0,3,15,91,1,0,14,1.076923077,135,0.0,0,0.0,0.153061224,0,0,0.214285714,1,0.9286,0
2,4,0,5,5,1,1,0,2,2.0,24,0.0,0,0.975609756,0.666666667,0,0,11.0,1,0.5,0
4,1,0,5,15,0,1,0,4,0.5,102,1.0,2,0.0,0.4375,0,0,24.0,6,2.0,0
38,1,0,26,113,637,21,0,36,0.848648649,2141,0.2,0,0.0,0.135135135,0,0,55.21052632,19,3.8158,0
39,3,1,10,194,575,2,0,3,0.8832236840000001,3271,1.0,3,0.393442623,0.191950464,2,5,82.46153846,16,2.6154,2
5,1,0,5,21,10,1,0,4,2.0,129,0.0,0,0.0,0.52,0,0,24.8,1,0.8,0
8,5,0,2,16,0,0,0,8,0.571428571,103,1.0,0,0.906666667,0.6875,2,2,11.5,1,0.875,0
36,2,0,12,81,142,4,0,31,0.812030075,675,0.736842105,5,0.276595745,0.182098765,1,2,17.22222222,3,1.0833,0
1,1,0,0,2,0,0,0,1,2.0,14,0.0,0,0.0,1.0,0,0,3.0,0,0.0,0
10,2,0,0,43,33,0,0,8,0.666666667,289,1.0,0,0.46666666700000003,0.48,1,1,27.8,6,2.0,0
15,1,0,51,29,0,50,0,12,0.62987013,401,0.545454545,2,0.0,0.233333333,0,0,25.0,7,1.4667,0
19,1,0,2,34,0,2,0,19,0.0,115,1.0,1,0.0,0.263157895,0,0,5.0,1,0.8947,0
3,3,0,3,10,0,3,0,2,0.0,59,1.0,0,0.974025974,0.46666666700000003,1,1,18.33333333,1,0.6667,0
14,3,0,2,28,0,1,0,11,0.788461538,257,1.0,1,0.6571428570000001,0.292307692,2,5,17.07142857,1,0.8571,0
2,4,0,4,6,1,1,0,2,2.0,25,0.0,0,0.975609756,0.666666667,1,1,11.5,1,0.5,0
0,1,0,1,0,0,1,0,0,2.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0
6,1,0,1,11,1,1,0,5,1.070588235,308,0.235294118,0,0.0,0.444444444,0,0,47.5,28,7.0,0
