testfile,Naive_CPDP_NB,Zscore_CPDP_NB,Zscore_SMOTE_CPDP_NB,Zscore_SMOTE_iFF_CPDP_NB,Zscore_WiFF_CPDP_NB,Zscore_WiFFplusL_CPDP_NB
ant-1.7.csv,0.35286285,0.35286285,0.446313066,0.499479709,0.490506329,0.666969147
ant-1.7.csv,0.32885906,0.32885906,0.422626788,0.606508876,0.467336683,0.64546305
ant-1.7.csv,0.32885906,0.32885906,0.420439845,0.538302277,0.436793422,0.670339761
ant-1.7.csv,0.32974428,0.32974428,0.440985733,0.347734457,0.377258236,0.67867036
ant-1.7.csv,0.323450135,0.323450135,0.410691004,0.468085106,0.357905983,0.652372263
ant-1.7.csv,0.33557047,0.33557047,0.434500649,0.474413646,0.338888889,0.670009116
ant-1.7.csv,0.342281879,0.342281879,0.477707006,0.533399801,0.466738197,0.654817587
ant-1.7.csv,0.322580645,0.322580645,0.435064935,0.524475524,0.484210526,0.667886551
ant-1.7.csv,0.322580645,0.322580645,0.448143406,0.549019608,0.43983822,0.672191529
ant-1.7.csv,0.322580645,0.322580645,0.39921466,0.437837838,0.393313668,0.663919414
ant-1.7.csv,0.322147651,0.322147651,0.42153048,0.550847458,0.544502618,0.659090909
ant-1.7.csv,0.315436242,0.315436242,0.413436693,0.54670913,0.452716298,0.67679558
ant-1.7.csv,0.322147651,0.322147651,0.413436693,0.56331007,0.438066465,0.661424607
ant-1.7.csv,0.35286285,0.35286285,0.442307692,0.425311203,0.452755906,0.657169118
ant-1.7.csv,0.309973046,0.309973046,0.39921466,0.478947368,0.452182952,0.677655678
ant-1.7.csv,0.32885906,0.32885906,0.475285171,0.551142006,0.497584541,0.679425837
ant-1.7.csv,0.327540107,0.327102804,0.437017995,0.456410256,0.509885536,0.648648649
ant-1.7.csv,0.322147651,0.322147651,0.420439845,0.514780836,0.517948718,0.676043557
ant-1.7.csv,0.31628533,0.31628533,0.417209909,0.467005076,0.481675393,0.666049954
ant-1.7.csv,0.333333333,0.333333333,0.446428571,0.461538462,0.450404858,0.673791822
ant-1.7.csv,0.322580645,0.322580645,0.422626788,0.495951417,0.501033058,0.648648649
ant-1.7.csv,0.323014805,0.32974428,0.439276486,0.490506329,0.45026178,0.66359447
ant-1.7.csv,0.309973046,0.309973046,0.424281984,0.50686378,0.421621622,0.675046555
ant-1.7.csv,0.347129506,0.347129506,0.434500649,0.488565489,0.512953368,0.670675301
ant-1.7.csv,0.32885906,0.335120643,0.411227154,0.455497382,0.558823529,0.666666667
ant-1.7.csv,0.322147651,0.322147651,0.404172099,0.486631016,0.447609359,0.669144981
ant-1.7.csv,0.322580645,0.322580645,0.458598726,0.572666025,0.466269841,0.641143911
ant-1.7.csv,0.347129506,0.347129506,0.444587629,0.49946865,0.512077295,0.681818182
ant-1.7.csv,0.335120643,0.335120643,0.415584416,0.430051813,0.402298851,0.670620438
ant-1.7.csv,0.353333333,0.353333333,0.47133758,0.444560669,0.464426877,0.65849228
arc-1.csv,0.203252033,0.203252033,0.277777778,0.432432432,0.373563218,0.41025641
arc-1.csv,0.243902439,0.243902439,0.419847328,0.435897436,0.378787879,0.406091371
arc-1.csv,0.203252033,0.203252033,0.384615385,0.423728814,0.350877193,0.431472081
arc-1.csv,0.241935484,0.241935484,0.419847328,0.432432432,0.340909091,0.427135678
arc-1.csv,0.203252033,0.203252033,0.275590551,0.459183673,0.432432432,0.429292929
arc-1.csv,0.241935484,0.241935484,0.419847328,0.427135678,0.386740331,0.412371134
arc-1.csv,0.203252033,0.203252033,0.275590551,0.432432432,0.412087912,0.406091371
arc-1.csv,0.203252033,0.203252033,0.241935484,0.376344086,0.316091954,0.447368421
arc-1.csv,0.203252033,0.203252033,0.275590551,0.432432432,0.423280423,0.406091371
arc-1.csv,0.203252033,0.203252033,0.384615385,0.397727273,0.423728814,0.429292929
arc-1.csv,0.203252033,0.203252033,0.241935484,0.434782609,0.407608696,0.442708333
arc-1.csv,0.203252033,0.203252033,0.275590551,0.378378378,0.402843602,0.433673469
arc-1.csv,0.241935484,0.241935484,0.3515625,0.435897436,0.412087912,0.433673469
arc-1.csv,0.241935484,0.241935484,0.419847328,0.430107527,0.375722543,0.427135678
arc-1.csv,0.241935484,0.241935484,0.277777778,0.433673469,0.412371134,0.416666667
arc-1.csv,0.203252033,0.203252033,0.275590551,0.43956044,0.427807487,0.427135678
arc-1.csv,0.203252033,0.203252033,0.241935484,0.416666667,0.323529412,0.440414508
arc-1.csv,0.241935484,0.241935484,0.419847328,0.41025641,0.401069519,0.422885572
arc-1.csv,0.203252033,0.203252033,0.277777778,0.350877193,0.423280423,0.429292929
arc-1.csv,0.241935484,0.241935484,0.348837209,0.407608696,0.423728814,0.408163265
arc-1.csv,0.203252033,0.203252033,0.31496063,0.434782609,0.430107527,0.431472081
arc-1.csv,0.241935484,0.241935484,0.423076923,0.454545455,0.384615385,0.429292929
arc-1.csv,0.203252033,0.203252033,0.241935484,0.442708333,0.416666667,0.412371134
arc-1.csv,0.241935484,0.241935484,0.3515625,0.411764706,0.428571429,0.43814433
arc-1.csv,0.241935484,0.241935484,0.384615385,0.373563218,0.43715847,0.431472081
arc-1.csv,0.241935484,0.241935484,0.419847328,0.402298851,0.325443787,0.422885572
arc-1.csv,0.203252033,0.203252033,0.416666667,0.394736842,0.303867403,0.414634146
arc-1.csv,0.241935484,0.241935484,0.419847328,0.414507772,0.317919075,0.422885572
arc-1.csv,0.241935484,0.241935484,0.275590551,0.456989247,0.372670807,0.425
arc-1.csv,0.203252033,0.203252033,0.275590551,0.416666667,0.431034483,0.433673469
camel-1.6.csv,0.132370638,0.132370638,0.171428571,0.387811634,0.256410256,0.445326279
camel-1.6.csv,0.132689988,0.132689988,0.15771028,0.312787489,0.293269231,0.37248028
camel-1.6.csv,0.138221154,0.138221154,0.16374269,0.285442436,0.302884615,0.443655723
camel-1.6.csv,0.132689988,0.132689988,0.158450704,0.257575758,0.270793037,0.441680961
camel-1.6.csv,0.132850242,0.132850242,0.166284404,0.321057602,0.295238095,0.427689594
camel-1.6.csv,0.132689988,0.132689988,0.157526254,0.263915547,0.282220132,0.427312775
camel-1.6.csv,0.150240385,0.150240385,0.159010601,0.314585319,0.25,0.439461883
camel-1.6.csv,0.138387485,0.138387485,0.153664303,0.350961538,0.289449113,0.369036904
camel-1.6.csv,0.138387485,0.138387485,0.162790698,0.286561265,0.286844708,0.37677305
camel-1.6.csv,0.126811594,0.126811594,0.158450704,0.270642202,0.266599598,0.423875433
camel-1.6.csv,0.138888889,0.138888889,0.159010601,0.301383399,0.259222333,0.389725421
camel-1.6.csv,0.133171913,0.133171913,0.158450704,0.359813084,0.328431373,0.377697842
camel-1.6.csv,0.132689988,0.132689988,0.158450704,0.270137525,0.289499509,0.379803396
camel-1.6.csv,0.138554217,0.138554217,0.162790698,0.349149508,0.362445415,0.444250871
camel-1.6.csv,0.138721351,0.138721351,0.152941176,0.305528613,0.283109405,0.430728242
camel-1.6.csv,0.133819951,0.133819951,0.147579693,0.342205323,0.323671498,0.366079703
camel-1.6.csv,0.132689988,0.132689988,0.150289017,0.384615385,0.296404276,0.424610052
camel-1.6.csv,0.13253012,0.13253012,0.156431054,0.303468208,0.290697674,0.400696864
camel-1.6.csv,0.133171913,0.133171913,0.147232038,0.369158879,0.258789063,0.344982079
camel-1.6.csv,0.132689988,0.132689988,0.158450704,0.339851024,0.298229264,0.348324515
camel-1.6.csv,0.132689988,0.132689988,0.152761457,0.319351764,0.308411215,0.434591747
camel-1.6.csv,0.132689988,0.132689988,0.158450704,0.291173794,0.348837209,0.437828371
camel-1.6.csv,0.132689988,0.132689988,0.160734788,0.291666667,0.288632327,0.433848797
camel-1.6.csv,0.133495146,0.133495146,0.158636898,0.43915828,0.279162512,0.438675022
camel-1.6.csv,0.132689988,0.132689988,0.158264947,0.334883721,0.295238095,0.442594216
camel-1.6.csv,0.127582017,0.127582017,0.158636898,0.293834297,0.269016698,0.422661871
camel-1.6.csv,0.132211538,0.132211538,0.177142857,0.336174242,0.293005671,0.388086643
camel-1.6.csv,0.13253012,0.13253012,0.156794425,0.30583874,0.283479961,0.444064902
camel-1.6.csv,0.132689988,0.132689988,0.158264947,0.262376238,0.26183283,0.433628319
camel-1.6.csv,0.133657351,0.133657351,0.153121319,0.28189911,0.259865255,0.387387387
ivy-2.0.csv,0.43902439,0.43902439,0.416666667,0.431034483,0.422794118,0.528700906
ivy-2.0.csv,0.443349754,0.443349754,0.420560748,0.443686007,0.404929577,0.53125
ivy-2.0.csv,0.434782609,0.434782609,0.409090909,0.4,0.402097902,0.540123457
ivy-2.0.csv,0.441176471,0.441176471,0.420560748,0.448275862,0.348837209,0.50872093
ivy-2.0.csv,0.443349754,0.443349754,0.420560748,0.43071161,0.418250951,0.535168196
ivy-2.0.csv,0.434782609,0.434782609,0.420560748,0.56122449,0.422297297,0.513196481
ivy-2.0.csv,0.436893204,0.436893204,0.412844037,0.523809524,0.397923875,0.553846154
ivy-2.0.csv,0.443349754,0.443349754,0.422535211,0.434782609,0.410958904,0.538461538
ivy-2.0.csv,0.436893204,0.436893204,0.422535211,0.449438202,0.397727273,0.540123457
ivy-2.0.csv,0.432692308,0.432692308,0.412844037,0.402684564,0.347490347,0.548780488
ivy-2.0.csv,0.434782609,0.434782609,0.412844037,0.546875,0.472027972,0.533536585
ivy-2.0.csv,0.434782609,0.434782609,0.422535211,0.411985019,0.416666667,0.525525526
ivy-2.0.csv,0.441176471,0.441176471,0.416666667,0.552050473,0.462633452,0.497076023
ivy-2.0.csv,0.43902439,0.43902439,0.422535211,0.413533835,0.437062937,0.50955414
ivy-2.0.csv,0.441176471,0.441176471,0.422535211,0.521472393,0.396551724,0.552147239
ivy-2.0.csv,0.436893204,0.436893204,0.416666667,0.529595016,0.428571429,0.542168675
ivy-2.0.csv,0.436893204,0.436893204,0.414746544,0.53968254,0.412371134,0.535168196
ivy-2.0.csv,0.436893204,0.436893204,0.418604651,0.433212996,0.390334572,0.546875
ivy-2.0.csv,0.441176471,0.441176471,0.418604651,0.508474576,0.415162455,0.550458716
ivy-2.0.csv,0.441176471,0.441176471,0.424528302,0.437710438,0.406360424,0.529411765
ivy-2.0.csv,0.436893204,0.436893204,0.420560748,0.525423729,0.540983607,0.503144654
ivy-2.0.csv,0.436893204,0.436893204,0.416666667,0.424354244,0.411184211,0.523952096
ivy-2.0.csv,0.436893204,0.436893204,0.412844037,0.560897436,0.470383275,0.52173913
ivy-2.0.csv,0.436893204,0.436893204,0.420560748,0.508196721,0.358490566,0.545454545
ivy-2.0.csv,0.43902439,0.43902439,0.418604651,0.559210526,0.379061372,0.536809816
ivy-2.0.csv,0.436893204,0.436893204,0.418604651,0.384615385,0.321969697,0.523255814
ivy-2.0.csv,0.436893204,0.436893204,0.418604651,0.543478261,0.329457364,0.523952096
ivy-2.0.csv,0.432692308,0.432692308,0.418604651,0.501792115,0.424354244,0.533536585
ivy-2.0.csv,0.436893204,0.436893204,0.416666667,0.438311688,0.362318841,0.526315789
ivy-2.0.csv,0.445544554,0.445544554,0.418604651,0.402930403,0.335820896,0.540540541
jedit-4.3.csv,0.177304965,0.177304965,0.159235669,0.064724919,0.071428571,0.103857567
jedit-4.3.csv,0.177304965,0.177304965,0.161290323,0.084175084,0.073529412,0.100864553
jedit-4.3.csv,0.176056338,0.176056338,0.157232704,0.064724919,0.062305296,0.102639296
jedit-4.3.csv,0.174825175,0.174825175,0.16025641,0.068965517,0.069444444,0.101449275
jedit-4.3.csv,0.172413793,0.172413793,0.152439024,0.070671378,0.075471698,0.101449275
jedit-4.3.csv,0.177304965,0.177304965,0.163398693,0.076335878,0.074074074,0.100574713
jedit-4.3.csv,0.178571429,0.178571429,0.157232704,0.068728522,0.077821012,0.0997151
jedit-4.3.csv,0.177304965,0.177304965,0.161290323,0.066225166,0.067567568,0.100286533
jedit-4.3.csv,0.177304965,0.177304965,0.163398693,0.071174377,0.071174377,0.100286533
jedit-4.3.csv,0.177304965,0.177304965,0.159235669,0.070175439,0.06779661,0.100574713
jedit-4.3.csv,0.177304965,0.177304965,0.16025641,0.08097166,0.099337748,0.102040816
jedit-4.3.csv,0.174825175,0.174825175,0.159235669,0.060606061,0.071428571,0.101156069
jedit-4.3.csv,0.177304965,0.177304965,0.16025641,0.076335878,0.067567568,0.103550296
jedit-4.3.csv,0.178571429,0.178571429,0.162337662,0.06993007,0.074626866,0.103244838
jedit-4.3.csv,0.178571429,0.177304965,0.165562914,0.114379085,0.06779661,0.108695652
jedit-4.3.csv,0.178571429,0.178571429,0.16025641,0.073529412,0.069686411,0.103244838
jedit-4.3.csv,0.179856115,0.179856115,0.162337662,0.076335878,0.073800738,0.104166667
jedit-4.3.csv,0.177304965,0.177304965,0.161290323,0.079113924,0.071684588,0.100864553
jedit-4.3.csv,0.177304965,0.177304965,0.16025641,0.077160494,0.074349442,0.104790419
jedit-4.3.csv,0.177304965,0.177304965,0.16025641,0.072202166,0.078431373,0.100574713
jedit-4.3.csv,0.176056338,0.176056338,0.154320988,0.066445183,0.070422535,0.100864553
jedit-4.3.csv,0.177304965,0.177304965,0.162337662,0.119047619,0.073800738,0.104477612
jedit-4.3.csv,0.174825175,0.174825175,0.152439024,0.103550296,0.072727273,0.102040816
jedit-4.3.csv,0.176056338,0.176056338,0.159235669,0.06993007,0.070175439,0.100286533
jedit-4.3.csv,0.173611111,0.173611111,0.153374233,0.066889632,0.076335878,0.100286533
jedit-4.3.csv,0.176056338,0.176056338,0.153374233,0.071174377,0.074626866,0.105105105
jedit-4.3.csv,0.177304965,0.177304965,0.155279503,0.072463768,0.078431373,0.101744186
jedit-4.3.csv,0.177304965,0.177304965,0.159235669,0.074626866,0.071428571,0.105105105
jedit-4.3.csv,0.177304965,0.177304965,0.16025641,0.087719298,0.069204152,0.103857567
jedit-4.3.csv,0.178571429,0.178571429,0.162337662,0.072202166,0.068259386,0.0997151
log4j-1.1.csv,0.066225166,0.066225166,0.25477707,0.680628272,0.685279188,0.695187166
log4j-1.1.csv,0.033557047,0.033557047,0.162337662,0.659340659,0.612244898,0.695876289
log4j-1.1.csv,0.066225166,0.066225166,0.224358974,0.604395604,0.641025641,0.692307692
log4j-1.1.csv,0.033333333,0.033333333,0.25477707,0.651041667,0.56122449,0.710526316
log4j-1.1.csv,0.066225166,0.066225166,0.25477707,0.675675676,0.615384615,0.699481865
log4j-1.1.csv,0.066225166,0.066225166,0.25477707,0.691489362,0.586734694,0.721925134
log4j-1.1.csv,0.033333333,0.033333333,0.193548387,0.664893617,0.564102564,0.710526316
log4j-1.1.csv,0.033333333,0.033333333,0.130718954,0.614973262,0.567010309,0.677083333
log4j-1.1.csv,0.066225166,0.066225166,0.193548387,0.654450262,0.535714286,0.692307692
log4j-1.1.csv,0.066225166,0.066225166,0.25477707,0.725806452,0.681818182,0.706806283
log4j-1.1.csv,0.066225166,0.066225166,0.25477707,0.672043011,0.578947368,0.692307692
log4j-1.1.csv,0.098684211,0.098684211,0.25477707,0.702702703,0.558375635,0.703125
log4j-1.1.csv,0.066225166,0.066225166,0.224358974,0.642458101,0.57591623,0.647668394
log4j-1.1.csv,0.066225166,0.066225166,0.224358974,0.631578947,0.580808081,0.695876289
log4j-1.1.csv,0.066225166,0.066225166,0.162337662,0.634920635,0.481283422,0.721649485
log4j-1.1.csv,0.066225166,0.066225166,0.25477707,0.634920635,0.592783505,0.692307692
log4j-1.1.csv,0.033333333,0.033333333,0.25477707,0.706521739,0.659898477,0.718085106
log4j-1.1.csv,0.066225166,0.066225166,0.25477707,0.679347826,0.656565657,0.699481865
log4j-1.1.csv,0.033333333,0.033333333,0.162337662,0.64171123,0.692307692,0.710526316
log4j-1.1.csv,0.066225166,0.066225166,0.224358974,0.607734807,0.56122449,0.706806283
log4j-1.1.csv,0.066225166,0.066225166,0.224358974,0.698924731,0.612244898,0.654450262
log4j-1.1.csv,0.066225166,0.066225166,0.224358974,0.677083333,0.538461538,0.692307692
log4j-1.1.csv,0.098684211,0.098684211,0.193548387,0.594594595,0.520833333,0.651041667
log4j-1.1.csv,0.098684211,0.098684211,0.25477707,0.638297872,0.583756345,0.695876289
log4j-1.1.csv,0.098684211,0.098684211,0.224358974,0.675675676,0.612244898,0.675675676
log4j-1.1.csv,0.066225166,0.066225166,0.25477707,0.585106383,0.592783505,0.699481865
log4j-1.1.csv,0.033333333,0.033333333,0.25477707,0.680628272,0.515463918,0.706806283
log4j-1.1.csv,0.033333333,0.033333333,0.193548387,0.598958333,0.651041667,0.684210526
log4j-1.1.csv,0.066225166,0.066225166,0.224358974,0.64516129,0.653266332,0.706806283
log4j-1.1.csv,0.066225166,0.066225166,0.193548387,0.591397849,0.567010309,0.695876289
lucene-2.0.csv,0.107238606,0.107238606,0.221354167,0.604026846,0.592841163,0.729166667
lucene-2.0.csv,0.107238606,0.107238606,0.159151194,0.711159737,0.613839286,0.761099366
lucene-2.0.csv,0.120320856,0.120320856,0.146276596,0.445205479,0.573593074,0.70212766
lucene-2.0.csv,0.107238606,0.107238606,0.146276596,0.597345133,0.449308756,0.71278826
lucene-2.0.csv,0.107238606,0.107238606,0.208877285,0.526315789,0.401891253,0.72327044
lucene-2.0.csv,0.107238606,0.107238606,0.146276596,0.507900677,0.446224256,0.720338983
lucene-2.0.csv,0.107238606,0.107238606,0.146276596,0.586907449,0.475638051,0.685654008
lucene-2.0.csv,0.119680851,0.119680851,0.145502646,0.483870968,0.478359909,0.717299578
lucene-2.0.csv,0.120320856,0.120320856,0.146276596,0.582959641,0.480549199,0.754132231
lucene-2.0.csv,0.106951872,0.106951872,0.146276596,0.555555556,0.607064018,0.729166667
lucene-2.0.csv,0.107238606,0.107238606,0.159151194,0.561797753,0.611587983,0.70083682
lucene-2.0.csv,0.107238606,0.107238606,0.208877285,0.519630485,0.538116592,0.71888412
lucene-2.0.csv,0.107238606,0.107238606,0.171957672,0.601750547,0.517241379,0.674518201
lucene-2.0.csv,0.120320856,0.120320856,0.184210526,0.495391705,0.579868709,0.721868365
lucene-2.0.csv,0.107238606,0.107238606,0.171503958,0.620767494,0.429234339,0.692963753
lucene-2.0.csv,0.107238606,0.107238606,0.146276596,0.575620767,0.574324324,0.668103448
lucene-2.0.csv,0.107238606,0.107238606,0.183727034,0.503432494,0.460829493,0.739583333
lucene-2.0.csv,0.107238606,0.107238606,0.183727034,0.432242991,0.475113122,0.727848101
lucene-2.0.csv,0.107238606,0.107238606,0.196335079,0.505617978,0.461711712,0.71278826
lucene-2.0.csv,0.107238606,0.107238606,0.233766234,0.623608018,0.625,0.717299578
lucene-2.0.csv,0.107238606,0.107238606,0.171503958,0.464037123,0.520361991,0.695931478
lucene-2.0.csv,0.107238606,0.107238606,0.146276596,0.616591928,0.601336303,0.721982759
lucene-2.0.csv,0.107238606,0.107238606,0.146276596,0.495391705,0.511363636,0.715789474
lucene-2.0.csv,0.107238606,0.107238606,0.146276596,0.475638051,0.418604651,0.687103594
lucene-2.0.csv,0.107238606,0.107238606,0.146666667,0.491803279,0.570175439,0.692963753
lucene-2.0.csv,0.107238606,0.107238606,0.183727034,0.616591928,0.503432494,0.697674419
lucene-2.0.csv,0.120320856,0.120320856,0.159151194,0.537757437,0.591517857,0.709606987
lucene-2.0.csv,0.120320856,0.120320856,0.171957672,0.615212528,0.484234234,0.735607676
lucene-2.0.csv,0.107238606,0.107238606,0.221354167,0.533642691,0.465909091,0.685224839
lucene-2.0.csv,0.107238606,0.107238606,0.158730159,0.556818182,0.570469799,0.706751055
poi-2.0.csv,0.247252747,0.247252747,0.265957447,0.321100917,0.314465409,0.404624277
