,BF_LR,BNaive_LR,BTCAplus_LR,BTNB_LR,CFPS_LR,DFAC_LR,DMDA_JFR_LR,EASC_LR,HISNN_LR,HSBF_LR,TCAplus_LR,TNB_LR,WiFLF_LR
ant-1.3,0.245,0.826666667,0.9,0,0.288333333,0.156666667,0.151666667,0.166666667,0.166666667,0,0.106666667,0.136666667,0.896666667
arc-1,0.130864198,0.603703704,0.630864198,0,0.19382716,0.116049383,0.083950617,0.118518519,0.088888889,0.111111111,0.296296296,0.204938272,0.703703704
camel-1.0,0.082051282,0.574358974,0.753846154,0,0.002564103,0,0.033333333,0,0.056410256,0,0.076923077,0.212820513,0.935897436
ivy-1.4,0.247916667,0.375,0.6875,0,0.10625,0.066666667,0.025,0.064583333,0.066666667,0.1875,0.11875,0.09375,0.716666667
jedit-3.2,0.194444444,0.432592593,0.506666667,0,0.149259259,0.111851852,0.079259259,0.112962963,0.072962963,0.033333333,0.95962963,0.255185185,0.790740741
log4j-1.0,0.130392157,0.501960784,0.706862745,0,0.042156863,0.02254902,0.028431373,0.029411765,0.031372549,0.088235294,0.196078431,0.080392157,0.837254902
lucene-2.0,0.057142857,0.623443223,0.584249084,0,0.057875458,0.063369963,0.057875458,0.063369963,0.027838828,0.021978022,0.177289377,0.050549451,0.719047619
poi-2.0,0.195495495,0.574774775,0.548648649,0,0.181981982,0.186486486,0.096396396,0.188288288,0.159459459,0.297297297,0.04954955,0.244144144,0.751351351
redaktor-1,0.098765432,0.774074074,0.418518519,0,0,0,0.037037037,0,0,0.074074074,0.345679012,0.016049383,0.692592593
synapse-1.0,0.15,0.845833333,0.875,0,0.241666667,0.125,0.016666667,0.127083333,0.177083333,0.6875,0.125,0.195833333,0.9
tomcat-6.0.389418,0.093506494,0.515584416,0.745021645,0,0.261471861,0.174891775,0.027272727,0.137229437,0.086147186,0.025974026,0.183116883,0.343722944,0.822510823
velocity-1.6,0.067094017,0.551282051,0.58034188,0,0.037606838,0.027350427,0.023076923,0.027350427,0.036324786,0.051282051,0.014529915,0.049145299,0.628205128
xalan-2.4,0.396666667,0.634545455,0.672727273,0,0.396060606,0.387575758,0.166060606,0.383030303,0.294848485,0.209090909,0.061818182,0.356666667,0.918181818
xerces-init,0.047619048,0.280952381,0.332034632,0,0.075757576,0.070562771,0.058874459,0.070562771,0.050649351,0.168831169,0.020779221,0.107359307,0.396969697
ant-1.7,0.207429719,0.67248996,0.751204819,0,0.338955823,0.139959839,0.091967871,0.127108434,0.13313253,0.156626506,0.089156627,0.189759036,0.894779116
arc-1,0.166666667,0.466666667,0.62962963,0,0.217283951,0.114814815,0.079012346,0.111111111,0.140740741,0.111111111,0.333333333,0.165432099,0.635802469
camel-1.6,0.067021277,0.324113475,0.535283688,0,0.092730496,0.037588652,0.027304965,0.039893617,0.034397163,0.079787234,0.137588652,0.129078014,0.578191489
ivy-2.0,0.296666667,0.755,0.75,0,0.434166667,0.299166667,0.0875,0.304166667,0.308333333,0.375,0.280833333,0.3025,0.871666667
jedit-4.3,0.533333333,0.612121212,0.636363636,0,0.454545455,0.454545455,0.127272727,0.484848485,0.363636364,0.454545455,1,0.454545455,0.636363636
log4j-1.1,0.093693694,0.564864865,0.755855856,0,0.127027027,0,0,0,0.000900901,0.243243243,0.27027027,0.121621622,0.854954955
lucene-2.0,0.124175824,0.513553114,0.636996337,0,0.087912088,0.055677656,0.027472527,0.058608059,0.057142857,0.043956044,0.26959707,0.053479853,0.776923077
poi-2.0,0.166666667,0.513513514,0.577477477,0,0.248648649,0.198198198,0.234234234,0.215315315,0.181981982,0.216216216,0.203603604,0.209009009,0.80990991
redaktor-1,0.465432099,0.530864198,0.461728395,0,0.040740741,0.00617284,0.204938272,0.045679012,0.004938272,0.074074074,0.537037037,0,0.802469136
synapse-1.2,0.249612403,0.459302326,0.675968992,0,0.220542636,0.076356589,0.047674419,0.076744186,0.092248062,0.209302326,0.269767442,0.091085271,0.883333333
tomcat-6.0.389418,0.459307359,0.571861472,0.717748918,0,0.447619048,0.358008658,0.155411255,0.378354978,0.314718615,0.571428571,0.336363636,0.308658009,0.851948052
velocity-1.6,0.073931624,0.33034188,0.577350427,0,0.061111111,0.076495726,0.036324786,0.086324786,0.09957265,0.128205128,0.106410256,0.047008547,0.644017094
xalan-2.6,0.181914031,0.431792376,0.476723439,0,0.132927818,0.075587997,0.154176805,0.079805353,0.074695864,0.111922141,0.024979724,0.171370641,0.748905109
xerces-1.3,0.204830918,0.503864734,0.456038647,0,0.3,0.172463768,0.073429952,0.173913043,0.17826087,0.202898551,0.171980676,0.21352657,0.741062802
EQ,0.197932817,0.45503876,0.512144703,0,0.155297158,0.159173127,0.069767442,0.16124031,0.096640827,0.11627907,0.328682171,0.243669251,0.812403101
JDT,0.385436893,0.844822006,0.874433657,0,0.516990291,0.466666667,0.199190939,0.525728155,0.326860841,0.936893204,0.004692557,0.525566343,0.825889968
LC,0.3546875,0.41875,0.671875,0,0.366145833,0.265625,0.079166667,0.267708333,0.1671875,0.578125,0.254166667,0.283854167,0.824479167
ML,0.236326531,0.445306122,0.614693878,0,0.38585034,0.281768707,0.112517007,0.231292517,0.120816327,0.648979592,0.348979592,0.256734694,0.489115646
PDE,0.320255183,0.47400319,0.700956938,0,0.311323764,0.318341308,0.062998405,0.318181818,0.200637959,0.736842105,0.253588517,0.299043062,0.829984051
Apache,0.889115646,0.762585034,0.898979592,0.469047619,0.69829932,0.696938776,0.299659864,0.691156463,0.660884354,0.806122449,0.341156463,0.878911565,0.915986395
Safe,0.356060606,0.662121212,0.657575758,0,0.545454545,0.357575758,0.35,0.88030303,0.760606061,0.727272727,0.35,0.545454545,0.821212121
Zxing,0.155649718,0.116949153,0.042372881,0,0.183898305,0.102542373,0.021186441,0.90960452,0.644067797,0.059322034,1,0.118644068,0.228813559
Average,0.231197387,0.542908269,0.626491225,0.013029101,0.233396744,0.172852482,0.095169679,0.212670721,0.174381147,0.265121113,0.267897052,0.221004865,0.755222222
